time,open,high,low,close,tick_volume
2020-08-17 01:00:00,1948.42,1951.22,1940.42,1949.07,2317
2020-08-17 02:00:00,1949.07,1949.17,1931.8,1932.38,2833
2020-08-17 03:00:00,1932.06,1938.4,1929.26,1937.67,3641
2020-08-17 04:00:00,1937.69,1940.49,1932.55,1939.94,4600
2020-08-17 05:00:00,1939.94,1942.89,1938.49,1940.46,3015
2020-08-17 06:00:00,1940.51,1942.97,1939.91,1940.89,1959
2020-08-17 07:00:00,1940.94,1945.24,1940.79,1943.14,2174
2020-08-17 08:00:00,1943.1,1945.4,1942.1,1942.49,3248
2020-08-17 09:00:00,1942.53,1951.32,1942.33,1951.18,4362
2020-08-17 10:00:00,1951.1,1956.86,1950.79,1954.29,4229
2020-08-17 11:00:00,1954.28,1955.27,1948.43,1950.67,3848
2020-08-17 12:00:00,1950.67,1952.44,1947.62,1951.16,2938
2020-08-17 13:00:00,1951.12,1954.64,1949.77,1953.05,3060
2020-08-17 14:00:00,1953.31,1955.25,1950.94,1954.85,2901
2020-08-17 15:00:00,1954.95,1962.28,1953.11,1957.95,5030
2020-08-17 16:00:00,1957.94,1973.15,1956.98,1972.58,5657
2020-08-17 17:00:00,1972.58,1988.92,1972.29,1980.63,5929
2020-08-17 18:00:00,1980.57,1986.45,1977.92,1985.38,5317
2020-08-17 19:00:00,1985.38,1988.74,1983.6,1987.12,4359
2020-08-17 20:00:00,1987.21,1990.48,1981.43,1982.56,4989
2020-08-17 21:00:00,1982.46,1983.53,1979.86,1979.99,3727
2020-08-17 22:00:00,1979.96,1985.07,1979.42,1983.89,3871
2020-08-17 23:00:00,1984.4,1985.48,1983.2,1984.29,1165
2020-08-18 01:00:00,1984.1,1984.8,1979.23,1981.19,1796
2020-08-18 02:00:00,1981.19,1984.23,1980.84,1983.66,2059
2020-08-18 03:00:00,1983.65,1985.74,1980.55,1984.62,2412
2020-08-18 04:00:00,1984.63,1995.23,1983.1,1993.41,4732
2020-08-18 05:00:00,1993.34,1995.84,1990.35,1992.01,3656
2020-08-18 06:00:00,1992.18,1993.41,1987.29,1990.73,3417
