open,high,low,close,real_volume,pivot,r1,s1,r2,s2,r3,s3,ema50,ema200,atr14,engulfing,hammer,hour,day_of_week,signal,target
1811.57,1811.65,1807.45,1811.28,0,1827.7966666666664,1840.8133333333328,1805.6333333333328,1862.9766666666665,1792.6166666666663,1875.9933333333329,1744.4199999999998,1828.8073405756184,1828.415895294171,4.447465441334218,0,100,13,3,1,0
1807.52,1807.55,1806.27,1806.78,0,1801.6500000000003,1807.6600000000003,1794.6700000000003,1814.6400000000003,1788.6600000000003,1820.6500000000003,1769.66,1802.826637758324,1812.460113165634,3.161106242924028,-100,0,23,2,-1,0
1827.06,1827.49,1825.48,1826.66,0,1831.003333333333,1837.4466666666667,1826.3166666666664,1842.1333333333332,1819.8733333333328,1848.5766666666668,1802.3,1829.2159934344588,1819.3738759997475,4.440421152595417,0,100,23,3,1,0
1934.72,1935.54,1932.0,1933.23,0,1924.3466666666664,1934.523333333333,1915.273333333333,1943.5966666666664,1905.0966666666664,1953.773333333333,1875.67,1927.4483879593288,1930.5701772312,5.043421107645194,-80,0,21,3,-1,0
1968.84,1974.79,1967.0,1974.13,0,1973.89,1985.1,1966.38,1992.61,1955.17,2003.82,1925.24,1968.845522844647,1948.6888796002816,4.77834737609832,100,0,13,3,1,0
1838.96,1841.03,1836.89,1840.87,0,1846.763333333333,1852.986666666667,1835.8166666666664,1863.9333333333332,1829.5933333333328,1870.1566666666668,1806.2,1854.626918441981,1850.986183441876,4.337293764027668,80,0,4,1,1,1
1846.08,1852.5,1843.67,1850.32,0,1852.26,1860.03,1844.97,1867.32,1837.2,1875.09,1814.37,1851.203090538674,1850.648325996715,3.695488376419904,100,0,15,3,1,0
1821.22,1823.92,1819.66,1819.66,0,1815.2333333333331,1825.4366666666667,1798.9566666666667,1841.7133333333331,1788.753333333333,1851.9166666666667,1752.07,1825.718602903779,1839.959362030599,5.906757513583194,-100,0,19,2,-1,0
1841.3,1842.17,1839.72,1840.01,0,1839.4433333333332,1844.256666666667,1832.8366666666668,1850.8633333333328,1828.0233333333333,1855.6766666666665,1811.7900000000004,1839.299712080537,1839.845275830304,4.562230216259444,-80,0,5,1,-1,1
1840.59,1841.58,1837.25,1837.74,0,1835.0933333333328,1841.6866666666665,1826.6566666666663,1850.1233333333328,1820.0633333333333,1856.7166666666665,1798.44,1835.1376639826408,1837.9027165259288,5.442994231952931,-80,0,21,2,-1,1
1831.22,1832.59,1815.83,1816.66,0,1822.75,1827.25,1816.07,1833.93,1811.57,1838.43,1795.89,1823.044707124167,1830.478559783132,5.129411525244484,-100,0,16,2,-1,1
1811.56,1811.69,1808.04,1809.09,0,1808.0433333333333,1812.2166666666667,1801.9466666666665,1818.3133333333333,1797.773333333333,1822.486666666667,1783.3299999999997,1807.810046138976,1820.0568029256297,4.221689036526141,-80,0,9,1,-1,1
1758.66,1758.84,1755.49,1755.95,0,1750.0733333333335,1757.756666666667,1744.346666666667,1763.4833333333331,1736.6633333333336,1771.1666666666667,1715.5700000000004,1753.7711725000966,1760.075403893903,3.7761681145607033,-100,0,21,3,-1,0
1723.7,1726.53,1713.79,1715.73,0,1709.7966666666664,1728.2933333333328,1700.4433333333327,1737.6466666666663,1681.9466666666665,1756.143333333333,1635.5999999999997,1712.100698502628,1721.051945852298,4.7141194564940365,-80,0,15,3,-1,0
1675.11,1676.27,1672.7,1674.2,0,1668.01,1676.13,1656.66,1687.4799999999998,1648.5400000000002,1695.5999999999997,1620.9500000000005,1670.587445090537,1690.146677643408,3.7807841702616822,-100,0,15,2,-1,1
1706.11,1714.14,1704.22,1713.14,0,1716.8033333333333,1738.496666666667,1704.2066666666665,1751.0933333333337,1682.513333333333,1772.7866666666669,1626.5299999999995,1702.6756419802457,1678.135514689924,6.480628744505133,100,0,15,2,1,0
1668.33,1671.5,1668.15,1670.38,0,1674.6166666666668,1682.4433333333336,1667.3933333333337,1689.6666666666667,1659.5666666666668,1697.4933333333336,1636.69,1655.9917948007185,1650.9899687213558,4.5693365652087445,80,0,8,1,1,0
1910.15,1911.82,1908.04,1911.31,0,1917.69,1924.59,1906.46,1935.82,1899.56,1942.72,1874.53,1900.8347348894504,1867.1172253340767,5.050723807473955,100,0,6,1,1,0
1906.15,1912.66,1906.0,1912.61,0,1917.69,1924.59,1906.46,1935.82,1899.56,1942.72,1874.53,1902.8248095268875,1869.9475021147125,4.81802545578585,100,0,13,1,1,0
1909.29,1914.36,1907.01,1912.95,0,1917.69,1924.59,1906.46,1935.82,1899.56,1942.72,1874.53,1903.4658468566151,1870.763058618468,5.068654602182684,100,0,15,1,1,0
1908.38,1908.86,1901.49,1905.25,0,1910.29,1916.9200000000003,1901.6000000000004,1925.61,1894.9700000000005,1932.24,1873.02,1907.7652895929457,1879.934203914964,5.696393304237363,0,100,19,2,1,0
